order_id,complaint_id,complaint_type,complaint_date,resolution_time_hours
O00003,C000000,Food Quality,2025-10-13,6
O00007,C000001,Late Delivery,2025-11-14,36
O00016,C000002,App Issue,2025-10-18,24
O00067,C000003,Food Quality,2025-11-04,14
O00075,C000004,Late Delivery,2025-10-27,7
O00087,C000005,Late Delivery,2025-11-29,46
O00088,C000006,Wrong Item,2025-11-30,5
O00101,C000007,Refund Not Processed,2025-12-10,37
O00106,C000008,Late Delivery,2025-12-01,22
O00109,C000009,Refund Not Processed,2025-12-18,11
O00110,C000010,Food Quality,2025-11-23,27
O00150,C000011,Food Quality,2025-12-19,9
O00152,C000012,App Issue,2025-11-30,33
O00155,C000013,Wrong Item,2025-10-31,46
O00168,C000014,App Issue,2025-11-20,15
O00183,C000015,Wrong Item,2025-12-12,39
O00184,C000016,App Issue,2025-11-01,11
O00195,C000017,Late Delivery,2025-11-02,13
O00202,C000018,Missing Item,2025-12-16,13
O00212,C000019,Food Quality,2025-11-18,26
O00213,C000020,Late Delivery,2025-11-26,13
O00248,C000021,Wrong Item,2025-10-20,17
O00253,C000022,App Issue,2025-11-23,9
O00259,C000023,Refund Not Processed,2025-10-19,26
O00261,C000024,Missing Item,2025-12-10,15
O00276,C000025,Payment Failure,2025-12-15,27
O00292,C000026,Wrong Item,2025-10-08,41
O00325,C000027,Late Delivery,2025-10-09,6
O00341,C000028,Late Delivery,2025-11-06,19
O00366,C000029,Refund Not Processed,2025-10-29,11
O00370,C000030,Refund Not Processed,2025-10-01,28
O00376,C000031,Food Quality,2025-12-25,23
O00408,C000032,Food Quality,2025-11-28,43
O00419,C000033,Late Delivery,2025-12-21,29
O00423,C000034,Late Delivery,2025-12-08,4
O00437,C000035,Food Quality,2025-11-23,27
O00446,C000036,Late Delivery,2025-11-05,32
O00488,C000037,Late Delivery,2025-11-18,9
O00492,C000038,Late Delivery,2025-10-10,13
O00493,C000039,Late Delivery,2025-12-24,45
O00534,C000040,Wrong Item,2025-12-01,36
O00564,C000041,Late Delivery,2025-12-16,8
O00570,C000042,Late Delivery,2025-11-30,7
O00591,C000043,Food Quality,2025-11-19,44
O00604,C000044,Refund Not Processed,2025-10-13,29
O00606,C000045,Late Delivery,2025-10-18,46
O00634,C000046,App Issue,2025-10-06,17
O00648,C000047,Payment Failure,2025-10-19,41
O00658,C000048,Refund Not Processed,2025-12-04,33
O00684,C000049,Food Quality,2025-10-28,12
O00701,C000050,Late Delivery,2025-10-09,34
O00709,C000051,App Issue,2025-10-03,35
O00717,C000052,Missing Item,2025-12-04,17
O00729,C000053,Food Quality,2025-10-30,40
O00752,C000054,Refund Not Processed,2025-11-29,24
O00754,C000055,Food Quality,2025-10-21,45
O00762,C000056,Late Delivery,2025-12-27,23
O00766,C000057,Late Delivery,2025-12-29,41
O00769,C000058,Food Quality,2025-12-26,6
O00805,C000059,Wrong Item,2025-11-28,17
O00806,C000060,Late Delivery,2025-12-12,32
O00813,C000061,Late Delivery,2025-12-21,38
O00819,C000062,App Issue,2025-12-12,13
O00832,C000063,Late Delivery,2025-10-19,15
O00847,C000064,Late Delivery,2025-11-04,41
O00872,C000065,Refund Not Processed,2025-12-19,26
O00876,C000066,Payment Failure,2025-12-09,41
O00925,C000067,Missing Item,2025-10-30,41
O00955,C000068,Late Delivery,2025-11-17,32
O00959,C000069,Late Delivery,2025-12-20,20
O00964,C000070,Late Delivery,2025-11-05,29
O00969,C000071,App Issue,2025-11-22,5
O00971,C000072,Late Delivery,2025-10-25,25
O00981,C000073,Late Delivery,2025-10-09,41
O00998,C000074,Missing Item,2025-12-26,39
O01024,C000075,App Issue,2025-10-02,45
O01075,C000076,Food Quality,2025-11-15,8
O01081,C000077,Refund Not Processed,2025-11-21,11
O01099,C000078,Refund Not Processed,2025-10-09,33
O01106,C000079,Late Delivery,2025-11-21,26
O01120,C000080,Food Quality,2025-11-03,45
O01136,C000081,Payment Failure,2025-11-05,24
O01142,C000082,Late Delivery,2025-12-21,28
O01152,C000083,Late Delivery,2025-12-05,11
O01164,C000084,Food Quality,2025-11-12,44
O01175,C000085,Food Quality,2025-10-15,17
O01176,C000086,Refund Not Processed,2025-10-05,41
O01180,C000087,Late Delivery,2025-12-10,43
O01187,C000088,Missing Item,2025-12-07,9
O01194,C000089,Refund Not Processed,2025-12-22,44
O01196,C000090,Late Delivery,2025-10-03,20
O01198,C000091,Food Quality,2025-11-27,10
O01202,C000092,Refund Not Processed,2025-12-04,7
O01203,C000093,App Issue,2025-10-24,37
O01215,C000094,Payment Failure,2025-10-04,33
O01231,C000095,Refund Not Processed,2025-10-06,43
O01232,C000096,App Issue,2025-12-26,46
O01244,C000097,Food Quality,2025-11-18,39
O01302,C000098,Late Delivery,2025-12-18,14
O01357,C000099,App Issue,2025-10-03,33
O01370,C000100,Payment Failure,2025-12-11,30
O01391,C000101,App Issue,2025-10-12,12
O01436,C000102,Wrong Item,2025-12-15,26
O01445,C000103,Payment Failure,2025-12-23,33
O01447,C000104,Wrong Item,2025-12-25,26
O01453,C000105,Late Delivery,2025-12-18,5
O01465,C000106,Late Delivery,2025-12-23,7
O01516,C000107,App Issue,2025-11-15,41
O01526,C000108,Food Quality,2025-11-03,37
O01530,C000109,Late Delivery,2025-11-02,10
O01537,C000110,Late Delivery,2025-12-23,23
O01571,C000111,Payment Failure,2025-10-03,41
O01575,C000112,Late Delivery,2025-10-16,15
O01580,C000113,Refund Not Processed,2025-11-04,32
O01588,C000114,Wrong Item,2025-11-07,8
O01616,C000115,Late Delivery,2025-12-28,11
O01629,C000116,App Issue,2025-11-21,40
O01633,C000117,Refund Not Processed,2025-12-23,15
O01636,C000118,Late Delivery,2025-11-21,37
O01639,C000119,Wrong Item,2025-10-31,41
O01641,C000120,Late Delivery,2025-12-17,42
O01649,C000121,Refund Not Processed,2025-12-11,18
O01651,C000122,Food Quality,2025-11-12,46
O01657,C000123,Missing Item,2025-10-23,15
O01673,C000124,Refund Not Processed,2025-10-19,33
O01763,C000125,Food Quality,2025-10-24,29
O01798,C000126,Late Delivery,2025-12-10,22
O01818,C000127,Late Delivery,2025-12-21,34
O01825,C000128,App Issue,2025-10-16,16
O01847,C000129,Food Quality,2025-10-07,39
O01878,C000130,App Issue,2025-12-25,6
O01905,C000131,Food Quality,2025-10-05,47
O01909,C000132,Late Delivery,2025-12-12,30
O01919,C000133,Food Quality,2025-12-29,10
O01939,C000134,Payment Failure,2025-10-29,37
O01947,C000135,Food Quality,2025-11-27,19
O01956,C000136,Late Delivery,2025-11-27,32
O02006,C000137,Refund Not Processed,2025-12-25,39
O02014,C000138,Late Delivery,2025-12-20,16
O02016,C000139,Late Delivery,2025-12-17,43
O02021,C000140,Late Delivery,2025-11-15,47
O02026,C000141,Refund Not Processed,2025-11-20,41
O02032,C000142,App Issue,2025-12-22,15
O02052,C000143,Late Delivery,2025-12-18,27
O02083,C000144,Late Delivery,2025-10-04,38
O02093,C000145,Refund Not Processed,2025-10-25,45
O02114,C000146,Late Delivery,2025-11-27,39
O02125,C000147,Refund Not Processed,2025-12-29,43
O02130,C000148,Missing Item,2025-12-02,43
O02138,C000149,Payment Failure,2025-11-24,32
O02147,C000150,Wrong Item,2025-12-17,42
O02149,C000151,Late Delivery,2025-12-22,24
O02191,C000152,Refund Not Processed,2025-10-08,44
O02194,C000153,Missing Item,2025-12-21,21
O02197,C000154,Refund Not Processed,2025-10-18,8
O02240,C000155,Refund Not Processed,2025-10-11,6
O02260,C000156,Food Quality,2025-12-16,33
O02309,C000157,Missing Item,2025-12-06,12
O02331,C000158,Food Quality,2025-12-08,41
O02341,C000159,Late Delivery,2025-11-14,35
O02355,C000160,Late Delivery,2025-11-05,44
O02366,C000161,Late Delivery,2025-12-24,29
O02396,C000162,Late Delivery,2025-12-19,38
O02406,C000163,Food Quality,2025-10-24,47
O02425,C000164,Late Delivery,2025-10-17,46
O02439,C000165,Refund Not Processed,2025-11-13,34
O02464,C000166,Refund Not Processed,2025-10-02,19
O02470,C000167,Late Delivery,2025-10-21,37
O02494,C000168,App Issue,2025-10-03,6
O02499,C000169,Late Delivery,2025-10-31,16
O02500,C000170,Refund Not Processed,2025-12-18,4
O02514,C000171,Food Quality,2025-10-14,13
O02520,C000172,Late Delivery,2025-12-14,38
O02555,C000173,Wrong Item,2025-12-08,28
O02557,C000174,Food Quality,2025-11-23,13
O02597,C000175,Late Delivery,2025-12-21,34
O02602,C000176,Food Quality,2025-12-08,45
O02608,C000177,Late Delivery,2025-11-09,23
O02619,C000178,Late Delivery,2025-12-26,25
O02634,C000179,Refund Not Processed,2025-11-12,17
O02636,C000180,Refund Not Processed,2025-11-25,9
O02654,C000181,Late Delivery,2025-11-13,34
O02678,C000182,App Issue,2025-12-04,20
O02695,C000183,App Issue,2025-10-03,13
O02708,C000184,App Issue,2025-10-18,39
O02719,C000185,Late Delivery,2025-12-01,8
O02738,C000186,Food Quality,2025-10-04,18
O02749,C000187,Late Delivery,2025-12-04,6
O02751,C000188,Payment Failure,2025-11-26,27
O02772,C000189,Refund Not Processed,2025-10-21,23
O02784,C000190,Refund Not Processed,2025-10-21,26
O02798,C000191,Food Quality,2025-12-02,27
O02810,C000192,Missing Item,2025-12-27,39
O02817,C000193,Food Quality,2025-11-11,42
O02852,C000194,Wrong Item,2025-10-07,44
O02858,C000195,Missing Item,2025-11-10,38
O02867,C000196,Late Delivery,2025-12-13,12
O02885,C000197,Late Delivery,2025-12-17,22
O02907,C000198,Refund Not Processed,2025-12-08,21
O02935,C000199,Food Quality,2025-11-05,20
O02947,C000200,Missing Item,2025-10-10,20
O02967,C000201,Food Quality,2025-10-28,43
O03012,C000202,Payment Failure,2025-11-11,20
O03022,C000203,Late Delivery,2025-11-05,11
O03080,C000204,Refund Not Processed,2025-11-24,23
O03087,C000205,Late Delivery,2025-10-04,18
O03112,C000206,Food Quality,2025-12-10,19
O03122,C000207,App Issue,2025-10-08,31
O03123,C000208,Wrong Item,2025-10-03,46
O03125,C000209,Late Delivery,2025-10-31,30
O03138,C000210,Food Quality,2025-11-21,13
O03179,C000211,Missing Item,2025-11-09,29
O03183,C000212,Refund Not Processed,2025-11-05,21
O03184,C000213,Late Delivery,2025-12-01,11
O03191,C000214,Late Delivery,2025-12-08,42
O03201,C000215,Missing Item,2025-11-14,19
O03207,C000216,Refund Not Processed,2025-12-23,20
O03219,C000217,Food Quality,2025-10-01,8
O03228,C000218,Late Delivery,2025-11-27,8
O03237,C000219,Refund Not Processed,2025-10-23,12
O03248,C000220,Late Delivery,2025-12-09,41
O03253,C000221,Wrong Item,2025-11-22,10
O03254,C000222,Refund Not Processed,2025-11-07,35
O03263,C000223,App Issue,2025-11-23,35
O03300,C000224,Late Delivery,2025-12-25,29
O03311,C000225,Refund Not Processed,2025-10-23,16
O03317,C000226,Refund Not Processed,2025-11-21,45
O03330,C000227,Late Delivery,2025-11-17,13
O03337,C000228,Late Delivery,2025-12-26,41
O03356,C000229,Wrong Item,2025-10-29,26
O03362,C000230,Food Quality,2025-11-04,44
O03391,C000231,Late Delivery,2025-12-08,25
O03394,C000232,Food Quality,2025-12-19,4
O03416,C000233,Late Delivery,2025-12-17,47
O03446,C000234,Late Delivery,2025-10-19,21
O03472,C000235,Missing Item,2025-12-19,28
O03473,C000236,Food Quality,2025-11-01,6
O03484,C000237,Food Quality,2025-11-20,46
O03497,C000238,Late Delivery,2025-11-12,15
O03502,C000239,Food Quality,2025-12-09,15
O03511,C000240,Late Delivery,2025-12-17,47
O03516,C000241,Refund Not Processed,2025-11-06,36
O03527,C000242,App Issue,2025-11-03,13
O03530,C000243,Late Delivery,2025-11-28,40
O03531,C000244,App Issue,2025-12-29,34
O03542,C000245,Late Delivery,2025-11-11,8
O03551,C000246,Food Quality,2025-10-03,10
O03573,C000247,Late Delivery,2025-11-22,31
O03583,C000248,Late Delivery,2025-10-18,42
O03594,C000249,Late Delivery,2025-12-27,37
O03599,C000250,Late Delivery,2025-11-23,30
O03615,C000251,Late Delivery,2025-12-14,27
O03630,C000252,Late Delivery,2025-11-04,43
O03650,C000253,App Issue,2025-11-23,28
O03681,C000254,Refund Not Processed,2025-11-12,31
O03691,C000255,Food Quality,2025-12-02,33
O03710,C000256,App Issue,2025-12-03,22
O03713,C000257,Late Delivery,2025-10-09,24
O03723,C000258,Refund Not Processed,2025-12-14,42
O03724,C000259,Late Delivery,2025-10-29,27
O03726,C000260,Food Quality,2025-11-15,5
O03737,C000261,Refund Not Processed,2025-10-08,12
O03749,C000262,Late Delivery,2025-10-13,38
O03763,C000263,Refund Not Processed,2025-11-03,10
O03816,C000264,Missing Item,2025-11-03,18
O03830,C000265,Late Delivery,2025-12-13,11
O03832,C000266,Late Delivery,2025-10-28,22
O03843,C000267,Late Delivery,2025-11-22,39
O03846,C000268,Refund Not Processed,2025-10-25,41
O03862,C000269,Late Delivery,2025-12-12,46
O03891,C000270,App Issue,2025-10-05,24
O03904,C000271,Refund Not Processed,2025-11-23,30
O03910,C000272,Refund Not Processed,2025-12-29,36
O03930,C000273,Late Delivery,2025-11-25,47
