restaurant_id,city,cuisine,avg_rating,onboarding_date,commission_percentage
R0000,Lucknow,Chinese,4.6,2024-07-04,18
R0001,Bangalore,Multi Cuisine,3.2,2024-10-28,24
R0002,Ahmedabad,Fast Food,4.7,2024-01-02,22
R0003,Jaipur,Indian,3.2,2025-02-06,23
R0004,Delhi,Italian,4.5,2024-10-09,26
R0005,Ahmedabad,Biryani,4.6,2024-05-14,18
R0006,Pune,Fast Food,4.6,2024-06-26,27
R0007,Delhi,Fast Food,3.0,2024-08-06,24
R0008,Jaipur,Chinese,4.1,2024-11-04,19
R0009,Delhi,Chinese,4.4,2024-03-14,15
R0010,Ahmedabad,Chinese,4.3,2024-10-23,24
R0011,Delhi,Biryani,3.7,2024-05-19,22
R0012,Ahmedabad,Thai,4.7,2025-02-04,24
R0013,Mumbai,Chinese,3.2,2025-03-31,20
R0014,Mumbai,Fast Food,4.6,2024-11-07,20
R0015,Lucknow,Chinese,3.3,2024-03-17,16
R0016,Ahmedabad,Fast Food,3.7,2024-04-29,18
R0017,Hyderabad,Thai,3.7,2024-01-21,20
R0018,Kolkata,Indian,3.4,2024-11-24,17
R0019,Lucknow,Thai,3.4,2024-08-16,25
R0020,Lucknow,Biryani,3.5,2024-09-26,24
R0021,Lucknow,Indian,2.8,2024-12-29,15
R0022,Chennai,Indian,3.3,2024-01-22,19
R0023,Mumbai,Italian,4.7,2025-01-27,18
R0024,Mumbai,Italian,4.2,2024-01-06,20
R0025,Ahmedabad,Chinese,3.7,2025-02-16,25
R0026,Bangalore,Chinese,2.8,2024-05-01,20
R0027,Lucknow,Fast Food,4.2,2024-06-20,19
R0028,Ahmedabad,Multi Cuisine,3.8,2024-01-16,23
R0029,Bangalore,Fast Food,4.1,2024-08-13,16
R0030,Chennai,Biryani,3.6,2024-10-26,22
R0031,Bangalore,Indian,2.8,2024-10-11,18
R0032,Delhi,Thai,4.0,2024-01-21,15
R0033,Jaipur,Indian,4.4,2024-03-06,17
R0034,Chennai,Biryani,3.2,2024-03-12,16
R0035,Bangalore,Thai,4.1,2024-10-18,27
R0036,Hyderabad,Chinese,3.5,2024-05-10,24
R0037,Pune,Thai,4.5,2025-03-16,17
R0038,Ahmedabad,Chinese,3.7,2024-08-28,26
R0039,Mumbai,Chinese,2.9,2024-10-31,27
R0040,Mumbai,Multi Cuisine,3.9,2024-02-10,15
R0041,Bangalore,Chinese,4.0,2024-08-16,17
R0042,Pune,Thai,3.4,2024-04-01,25
