user_id,signup_date,city,acquisition_channel,is_premium
U0000,2025-11-11,Delhi,Instagram,0
U0001,2025-11-01,Delhi,Referral,0
U0002,2025-08-15,Hyderabad,Google,0
U0003,2025-11-15,Mumbai,Influencer,0
U0004,2025-10-11,Ahmedabad,Unknown,0
U0005,2025-08-21,Hyderabad,Google,0
U0006,2025-11-11,Bangalore,Influencer,0
U0007,2025-11-30,Bangalore,Instagram,0
U0008,2025-10-14,Pune,Referral,0
U0009,2025-10-27,Pune,Google,1
U0010,2025-11-25,Pune,Meta Ads,0
U0011,2025-11-08,Pune,Affiliate,0
U0012,2025-11-12,Ahmedabad,Influencer,1
U0013,2025-12-09,Ahmedabad,Influencer,0
U0014,2025-12-28,Jaipur,Instagram,0
U0015,2025-09-22,Delhi,Referral,1
U0016,2025-08-02,Lucknow,Instagram,0
U0017,2025-10-27,Ahmedabad,Instagram,1
U0018,2025-09-07,Chennai,Influencer,0
U0019,2025-12-08,Bangalore,Google,1
U0020,2025-08-21,Lucknow,Google,0
U0021,2025-09-27,Bangalore,Affiliate,1
U0022,2025-08-22,Pune,Unknown,1
U0023,2025-10-28,Ahmedabad,Affiliate,0
U0024,2025-09-18,Lucknow,Meta Ads,0
U0025,2025-09-28,Mumbai,Influencer,0
U0026,2025-08-15,Jaipur,Referral,0
U0027,2025-09-20,Chennai,Youtube Ads,0
U0028,2025-11-16,Chennai,Referral,0
U0029,2025-09-24,Delhi,Instagram,1
U0030,2025-10-03,Pune,Google,1
U0031,2025-12-09,Chennai,Instagram,0
U0032,2025-09-20,Kolkata,Unknown,1
U0033,2025-12-13,Kolkata,Instagram,0
U0034,2025-08-21,Hyderabad,Meta Ads,0
U0035,2025-10-12,Chennai,Referral,0
U0036,2025-08-18,Lucknow,Meta Ads,1
U0037,2025-12-10,Ahmedabad,Referral,0
U0038,2025-10-28,Mumbai,Meta Ads,0
U0039,2025-09-29,Delhi,Affiliate,0
U0040,2025-08-14,Pune,Youtube Ads,0
U0041,2025-08-09,Hyderabad,Influencer,0
U0042,2025-10-29,Lucknow,Meta Ads,1
U0043,2025-09-22,Bangalore,Instagram,0
U0044,2025-12-08,Kolkata,Influencer,0
U0045,2025-10-23,Ahmedabad,Google,1
U0046,2025-10-31,Hyderabad,Unknown,0
U0047,2025-11-19,Lucknow,Unknown,1
U0048,2025-08-08,Pune,Meta Ads,1
